                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0896,                0.91123,                 1.8027,                0.92716,                0.67069,                0.75913,                0.54357,                 1.2572,                 1.1475,                 2.1427,              0.0017993,              0.0017993,              0.0017993
                     35,                    1.1,                0.91511,                  1.831,                 0.9331,                0.68421,                0.78787,                0.51611,                 1.5121,                 1.3678,                 2.2525,              0.0017875,              0.0017875,              0.0017875
                     36,                 1.1271,                0.90109,                 1.8708,                 0.9663,                0.68421,                0.75648,                0.54394,                 1.3737,                 1.2424,                 2.3437,              0.0017753,              0.0017753,              0.0017753
                     37,                 1.0864,                0.90355,                 1.8063,                 0.7897,                0.68421,                 0.7453,                0.52853,                 1.2194,                 1.1865,                  1.987,              0.0017628,              0.0017628,              0.0017628
                     38,                 1.1906,                0.91432,                 1.9316,                0.82538,                0.57895,                0.61965,                0.44572,                   1.42,                 1.3828,                 2.1445,                0.00175,                0.00175,                0.00175
                     39,                 1.1251,                0.89358,                 1.8588,                0.97518,                0.63158,                0.75616,                0.52339,                 1.2903,                 1.2274,                 2.0559,               0.001737,               0.001737,               0.001737
                     40,                  1.047,                0.83427,                 1.8079,                0.98236,                0.68421,                0.73847,                0.52361,                 1.3095,                  1.391,                 2.1242,              0.0017236,              0.0017236,              0.0017236
                     41,                 1.0858,                0.86689,                 1.7582,                0.98952,                0.63158,                0.74053,                0.52055,                 1.3971,                 1.3495,                 2.1934,                0.00171,                0.00171,                0.00171
                     42,                 1.0427,                0.83481,                 1.7079,                      1,                0.76153,                0.81595,                0.59244,                 1.3312,                 1.1858,                 2.0957,              0.0016962,              0.0016962,              0.0016962
                     43,                 1.0418,                0.83134,                 1.7206,                      1,                0.67214,                0.75474,                0.53549,                  1.313,                  1.116,                 2.1147,               0.001682,               0.001682,               0.001682
                     44,                 1.0523,                0.84264,                 1.7834,                0.98625,                0.68421,                0.74863,                0.54149,                 1.2125,                 1.2759,                 2.0399,              0.0016676,              0.0016676,              0.0016676
                     45,                0.98551,                0.82978,                 1.6617,                0.91569,                0.57219,                0.65018,                0.46248,                  1.245,                 1.4168,                 2.1103,               0.001653,               0.001653,               0.001653
                     46,                 1.1074,                0.83831,                 1.8407,                0.98365,                0.63158,                0.69905,                0.51747,                 1.3288,                 1.4744,                 2.0889,               0.001638,               0.001638,               0.001638
                     47,                0.99116,                0.76894,                 1.7205,                      1,                0.63139,                0.73659,                0.51309,                 1.3976,                 1.4681,                  2.158,              0.0016229,              0.0016229,              0.0016229
                     48,                 1.0307,                0.81409,                 1.7873,                0.90223,                0.68421,                0.72865,                0.50158,                 1.4174,                 1.2902,                 2.1992,              0.0016075,              0.0016075,              0.0016075
                     49,                 1.0417,                0.81154,                 1.8108,                0.97404,                0.68421,                0.73816,                0.55741,                 1.1965,                 1.1461,                 1.9693,              0.0015919,              0.0015919,              0.0015919
                     50,                0.98158,                0.73173,                 1.7281,                0.91288,                0.68421,                0.72527,                0.53032,                 1.1385,                 1.1668,                  1.989,              0.0015761,              0.0015761,              0.0015761
                     51,                 1.0274,                0.82373,                 1.7878,                0.99004,                0.57895,                0.67738,                 0.4955,                 1.2548,                 1.2031,                 2.0705,                0.00156,                0.00156,                0.00156
                     52,                 1.0076,                0.73136,                 1.7769,                0.93326,                0.73598,                0.75332,                0.53967,                 1.3494,                 1.2495,                 2.1412,              0.0015437,              0.0015437,              0.0015437
                     53,                  1.028,                0.79685,                  1.688,                0.93232,                 0.7257,                0.74723,                0.52989,                 1.3029,                 1.1258,                 2.0851,              0.0015273,              0.0015273,              0.0015273
                     54,                 1.0224,                0.78142,                 1.7104,                0.97514,                0.63158,                0.72043,                0.50402,                 1.2161,                 1.2604,                 2.0176,              0.0015106,              0.0015106,              0.0015106
                     55,                 1.0146,                0.68141,                 1.6513,                0.98612,                0.68421,                0.76605,                0.57741,                 1.0553,                 1.0944,                 1.8328,              0.0014937,              0.0014937,              0.0014937
                     56,                0.96832,                0.72631,                 1.6788,                0.98538,                0.68421,                0.78161,                0.59928,                 1.1603,                  1.142,                 1.9204,              0.0014767,              0.0014767,              0.0014767
                     57,                0.94577,                0.78027,                  1.662,                0.89271,                0.73684,                0.81411,                0.56703,                 1.2618,                 1.0168,                 1.9829,              0.0014595,              0.0014595,              0.0014595
                     58,                0.96779,                0.74194,                 1.7562,                0.93097,                0.73684,                 0.8118,                0.55187,                 1.2331,                 1.1053,                 2.0505,               0.001442,               0.001442,               0.001442
                     59,                 0.9998,                0.78545,                 1.7434,                0.82965,                0.68421,                0.78256,                0.55762,                 1.2274,                 1.1468,                 2.0036,              0.0014245,              0.0014245,              0.0014245
                     60,                0.93309,                0.71216,                 1.6281,                  0.969,                0.57895,                0.66542,                0.48071,                 1.3099,                 1.1772,                 2.0986,              0.0014067,              0.0014067,              0.0014067
                     61,                0.94286,                0.74967,                 1.6729,                0.89956,                0.57895,                0.66923,                0.47864,                 1.4157,                  1.209,                  2.181,              0.0013889,              0.0013889,              0.0013889
                     62,                0.89703,                0.67202,                 1.6208,                0.99059,                0.68421,                0.80831,                0.60787,                 1.1849,                  1.008,                 1.9098,              0.0013708,              0.0013708,              0.0013708
                     63,                0.89096,                0.66965,                 1.6036,                0.92525,                0.73684,                0.80635,                 0.5513,                 1.2964,                 1.0477,                  2.086,              0.0013527,              0.0013527,              0.0013527
                     64,                0.92561,                0.71121,                 1.6568,                0.92024,                0.68421,                0.77106,                 0.5833,                  1.208,                 1.1024,                 2.0448,              0.0013344,              0.0013344,              0.0013344
                     65,                 0.8913,                0.66909,                 1.5501,                0.93114,                0.78947,                 0.7967,                0.59703,                 1.2618,                 1.0349,                 2.0688,              0.0013159,              0.0013159,              0.0013159
                     66,                0.89928,                0.67266,                  1.625,                0.93284,                0.73143,                0.79421,                0.57982,                 1.1375,                0.94911,                  1.917,              0.0012974,              0.0012974,              0.0012974
                     67,                0.91191,                0.62829,                 1.6191,                0.81742,                0.73684,                 0.7499,                0.60432,                 1.2174,                0.98125,                 2.0418,              0.0012787,              0.0012787,              0.0012787
                     68,                0.88813,                0.70074,                 1.6299,                      1,                 0.6751,                 0.7566,                 0.5581,                 1.2891,                 1.0367,                 2.0931,                0.00126,                0.00126,                0.00126
                     69,                0.94948,                0.68569,                 1.6679,                0.99246,                0.73684,                0.78083,                0.55267,                 1.3468,                0.96192,                 2.1721,              0.0012411,              0.0012411,              0.0012411
                     70,                 1.0194,                0.74185,                 1.6882,                0.92323,                0.73684,                0.78246,                0.57743,                 1.2788,                0.95349,                 2.0842,              0.0012222,              0.0012222,              0.0012222
                     71,                 0.9423,                0.72753,                 1.6486,                0.72661,                0.68421,                 0.7041,                0.52739,                 1.3426,                  1.303,                 2.1686,              0.0012031,              0.0012031,              0.0012031
                     72,                0.86352,                0.63627,                 1.6528,                0.92736,                0.67256,                0.73562,                0.57491,                 1.2248,                 1.1204,                 2.0417,               0.001184,               0.001184,               0.001184
                     73,                0.87538,                0.66601,                 1.5285,                0.84249,                0.63158,                0.71953,                0.56744,                 1.1943,                  1.157,                 1.9076,              0.0011649,              0.0011649,              0.0011649
                     74,                0.89009,                0.63843,                 1.5779,                0.92731,                 0.6721,                0.73662,                0.56905,                 1.2145,                 1.0921,                 1.9465,              0.0011456,              0.0011456,              0.0011456
                     75,                0.89303,                0.64942,                 1.5649,                0.98065,                0.73684,                0.75487,                0.55201,                 1.3367,                 1.0593,                 2.1351,              0.0011264,              0.0011264,              0.0011264
                     76,                0.84102,                0.61394,                 1.5112,                0.98805,                0.68421,                0.74016,                0.54184,                 1.3397,                 1.0073,                 2.1372,               0.001107,               0.001107,               0.001107
                     77,                0.89458,                0.66612,                 1.5925,                0.93236,                0.72612,                0.77282,                0.57028,                 1.1876,                0.96205,                 1.9994,              0.0010877,              0.0010877,              0.0010877
                     78,                0.85368,                0.60804,                 1.5943,                0.93053,                0.70591,                0.78721,                0.58418,                 1.1722,                0.86905,                 1.9419,              0.0010683,              0.0010683,              0.0010683
                     79,                0.83799,                0.64041,                 1.5829,                0.87164,                0.71562,                0.78406,                0.60221,                 1.0961,                0.91623,                 1.8346,              0.0010489,              0.0010489,              0.0010489
                     80,                0.83485,                0.59837,                 1.5379,                0.92214,                0.73684,                0.81824,                 0.6286,                 1.0803,                0.81737,                 1.8203,              0.0010294,              0.0010294,              0.0010294
                     81,                0.80655,                 0.6016,                 1.4961,                0.98081,                0.68421,                0.80535,                0.59626,                 1.1457,                0.86578,                 1.9053,                0.00101,                0.00101,                0.00101
                     82,                0.79553,                0.59014,                 1.4992,                0.93274,                0.73028,                0.80166,                0.58278,                 1.1467,                0.83254,                  1.898,             0.00099056,             0.00099056,             0.00099056
                     83,                0.81202,                0.58808,                 1.5385,                0.98911,                0.68421,                0.78312,                0.55112,                  1.175,                0.93594,                 1.9519,             0.00097113,             0.00097113,             0.00097113
                     84,                0.79976,                0.51339,                 1.4517,                      1,                0.72813,                0.78442,                0.57596,                 1.2447,                0.84315,                 2.0149,             0.00095172,             0.00095172,             0.00095172
                     85,                0.79893,                0.51498,                 1.5399,                0.98561,                0.73684,                0.78966,                 0.5895,                 1.2444,                0.87035,                 2.0155,             0.00093233,             0.00093233,             0.00093233
                     86,                0.78981,                0.54562,                 1.4582,                0.99412,                0.78947,                0.85353,                 0.6062,                 1.1962,                0.84025,                 1.9638,             0.00091296,             0.00091296,             0.00091296
                     87,                0.81606,                0.56854,                 1.5615,                0.98839,                0.73684,                0.84172,                0.58631,                 1.2867,                0.94193,                 2.0633,             0.00089364,             0.00089364,             0.00089364
                     88,                0.78036,                0.56104,                 1.5188,                0.93224,                0.72473,                0.81644,                0.54132,                 1.4169,                 1.0668,                 2.2375,             0.00087436,             0.00087436,             0.00087436
                     89,                 0.8077,                0.58685,                 1.5473,                0.98775,                0.68421,                0.79849,                0.55774,                 1.3538,                0.86732,                 2.2063,             0.00085513,             0.00085513,             0.00085513
                     90,                0.82694,                0.59377,                 1.5506,                 0.9165,                0.73684,                0.78124,                0.57153,                 1.1837,                0.80155,                 2.0375,             0.00083596,             0.00083596,             0.00083596
                     91,                0.80859,                0.60108,                 1.5127,                 0.9924,                0.73684,                0.78286,                0.56737,                 1.1444,                0.85735,                 1.9304,             0.00081686,             0.00081686,             0.00081686
                     92,                 0.7999,                0.59942,                 1.5258,                      1,                0.73173,                0.84194,                0.64291,                 1.0436,                0.74622,                 1.7922,             0.00079783,             0.00079783,             0.00079783
                     93,                0.74172,                0.54364,                 1.4372,                0.97912,                0.73684,                0.84429,                0.67677,                 1.0297,                0.78673,                 1.7394,             0.00077889,             0.00077889,             0.00077889
                     94,                0.78142,                0.55969,                 1.5265,                0.88071,                 0.7777,                0.78289,                0.58496,                    1.1,                0.93252,                 1.8613,             0.00076003,             0.00076003,             0.00076003
                     95,                0.74117,                0.52065,                 1.4234,                0.80524,                0.73684,                0.76917,                0.58216,                 1.1462,                 1.1173,                  1.895,             0.00074127,             0.00074127,             0.00074127
