                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8905,                 11.223,                 2.4937,                0.12007,                0.37355,                0.19177,                0.07234,                 3.3588,                 21.872,                 3.9444,               0.067897,             0.00065517,             0.00065517
                      2,                 2.2628,                 5.3577,                 2.9248,                0.12007,                0.37355,                0.19177,                0.07234,                 3.7228,                 38.875,                 5.7843,                0.03523,              0.0013216,              0.0013216
                      3,                 2.3705,                 3.2782,                 3.0694,                0.00053,                0.21053,                0.00052,                0.00011,                 4.4502,                    inf,                 52.305,              0.0025619,              0.0019872,              0.0019872
                      4,                 2.8672,                 3.9495,                 3.3694,                0.00053,                0.21053,                0.00052,                0.00011,                    nan,                    nan,                    nan,              0.0019969,              0.0019969,              0.0019969
                      5,                 2.4094,                 3.6947,                 3.0292,                0.00053,                0.21053,                0.00052,                0.00011,                    nan,                    nan,                    nan,              0.0019946,              0.0019946,              0.0019946
                      6,                 2.3849,                 3.2901,                 2.9921,                0.00203,                0.36842,                0.00249,                 0.0008,                 4.0816,                    inf,                 28.385,              0.0019915,              0.0019915,              0.0019915
                      7,                 2.2925,                  3.175,                 3.0386,                0.00135,                0.26316,                0.00104,                0.00034,                 3.4294,                 1328.6,                 5.6593,              0.0019878,              0.0019878,              0.0019878
                      8,                 2.2294,                 2.8773,                 2.9951,                0.17314,                0.10526,                0.08029,                0.03767,                 2.9333,                  6.294,                 4.2096,              0.0019834,              0.0019834,              0.0019834
                      9,                 2.1457,                 2.7063,                 2.9296,                0.03218,                0.05263,                0.00865,                0.00313,                 4.0442,                 7.8979,                 5.7167,              0.0019784,              0.0019784,              0.0019784
                     10,                 2.2023,                 2.5398,                 2.9908,                0.76419,                0.10526,                0.13144,                0.05844,                 2.3428,                 5.7099,                  3.215,              0.0019726,              0.0019726,              0.0019726
                     11,                  2.155,                  2.399,                 2.8475,                0.41209,                0.42105,                0.32842,                0.15913,                 2.0968,                 4.0712,                 3.0119,              0.0019663,              0.0019663,              0.0019663
                     12,                 2.1049,                 2.2467,                 2.7666,                0.64994,                0.21053,                0.27557,                0.13852,                  2.329,                 5.9486,                 3.0324,              0.0019592,              0.0019592,              0.0019592
                     13,                 2.0767,                 2.6023,                 2.7921,                0.25613,                0.21053,                0.15447,                0.09161,                 2.8982,                 13.682,                 3.7028,              0.0019515,              0.0019515,              0.0019515
                     14,                 1.9547,                 2.0388,                 2.7017,                0.63109,                0.36842,                0.44897,                0.24475,                 1.8208,                 2.6171,                 2.6309,              0.0019432,              0.0019432,              0.0019432
                     15,                 1.9716,                 2.3418,                 2.7151,                0.51951,                0.63158,                0.51882,                0.24799,                 2.1617,                 1.8894,                  3.163,              0.0019342,              0.0019342,              0.0019342
                     16,                 1.9752,                 2.2121,                  2.691,                0.63836,                0.46508,                0.48121,                0.26368,                  1.976,                 2.0422,                  2.798,              0.0019246,              0.0019246,              0.0019246
