                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3392,                 1.9963,                 2.0574,                0.40393,                0.36842,                0.41637,                0.29225,                 1.7548,                 2.0886,                 2.9067,               0.067522,             0.00066281,             0.00066281
                      2,                 1.3719,                 2.0102,                 2.0922,                0.88281,                0.52632,                0.58668,                0.39103,                 1.7292,                 1.9175,                 2.6589,               0.034855,              0.0013294,              0.0013294
                      3,                 1.4016,                  2.067,                 2.1887,                0.46877,                0.55788,                0.46545,                0.29324,                  1.474,                 2.1162,                 2.3952,              0.0021881,              0.0019954,              0.0019954
                      4,                 1.4143,                 2.1495,                 2.1044,                      1,                0.26268,                0.38046,                0.24049,                 1.8218,                 2.1753,                 2.7281,              0.0019983,              0.0019983,              0.0019983
