                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9393,                 1.7958,                 2.6914,                0.66994,                  0.625,                0.68393,                0.36049,                 2.1621,                 2.4791,                  2.898,               0.001633,               0.001633,               0.001633
                     36,                 1.9794,                 1.7252,                 2.6845,                0.46618,                0.54646,                0.56323,                0.30108,                 2.0602,                 1.8618,                 2.7572,              0.0016127,              0.0016127,              0.0016127
                     37,                 1.9984,                 1.6901,                 2.7679,                0.51473,                 0.5625,                0.62163,                 0.3558,                 2.1566,                 2.1485,                 2.9575,              0.0015919,              0.0015919,              0.0015919
                     38,                 1.9259,                 1.6992,                 2.5976,                0.66617,                    0.5,                 0.5849,                 0.3187,                 2.2626,                 2.1992,                 2.9697,              0.0015707,              0.0015707,              0.0015707
                     39,                 1.9528,                 1.6503,                 2.6222,                0.68627,                  0.375,                0.52396,                0.26347,                 2.2235,                 2.2166,                  2.973,              0.0015492,              0.0015492,              0.0015492
                     40,                 1.9417,                 1.8418,                  2.667,                      1,                 0.4923,                0.61107,                0.30616,                 2.1491,                  2.131,                  2.941,              0.0015273,              0.0015273,              0.0015273
                     41,                 2.0255,                 1.7836,                 2.7237,                0.55307,                0.54228,                 0.4816,                0.24854,                 2.2352,                 2.3447,                  3.104,               0.001505,               0.001505,               0.001505
                     42,                 1.9018,                 1.8328,                 2.5674,                0.56777,                0.49306,                  0.481,                0.26876,                  2.265,                 2.3001,                 3.0337,              0.0014824,              0.0014824,              0.0014824
                     43,                 1.8512,                 1.6405,                 2.5023,                0.71625,                 0.5625,                0.59328,                 0.3613,                 2.1789,                 2.2945,                 2.9748,              0.0014595,              0.0014595,              0.0014595
                     44,                 1.8092,                 1.6192,                 2.4713,                0.73749,                 0.4375,                 0.5729,                0.34876,                 1.7986,                 2.0367,                  2.606,              0.0014362,              0.0014362,              0.0014362
                     45,                 1.8334,                 1.6479,                 2.5139,                0.50483,                 0.6875,                0.56026,                0.33387,                 1.9071,                 2.0398,                   2.75,              0.0014127,              0.0014127,              0.0014127
                     46,                 1.8072,                 1.5544,                 2.5268,                0.62449,                0.62372,                0.58048,                0.33335,                 2.0007,                 2.0011,                 2.8874,              0.0013889,              0.0013889,              0.0013889
                     47,                 1.7922,                 1.5467,                 2.4792,                0.77199,                    0.5,                0.64602,                0.38809,                 2.1216,                 1.9903,                  2.854,              0.0013648,              0.0013648,              0.0013648
                     48,                 1.7516,                 1.4975,                 2.4521,                0.87919,                 0.4375,                0.55412,                0.32556,                 2.3846,                 2.3141,                 3.1167,              0.0013405,              0.0013405,              0.0013405
                     49,                 1.7363,                 1.4178,                 2.4471,                0.65841,                 0.5625,                0.63041,                0.35945,                 2.1497,                 1.8101,                 2.8636,              0.0013159,              0.0013159,              0.0013159
                     50,                 1.7861,                 1.4981,                 2.4195,                0.79799,                0.49435,                0.61147,                0.38253,                 2.0156,                 1.8114,                 2.7191,              0.0012912,              0.0012912,              0.0012912
                     51,                 1.8026,                 1.4556,                 2.4551,                0.65592,                0.71574,                0.68726,                0.42342,                 1.9356,                  1.783,                  2.586,              0.0012662,              0.0012662,              0.0012662
                     52,                 1.6728,                 1.3855,                 2.3928,                0.90701,                0.61066,                0.68499,                 0.4352,                  1.924,                 1.9326,                  2.617,              0.0012411,              0.0012411,              0.0012411
