                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0003,                 1.5046,                  1.247,                 1.1487,                 0.7958,                0.60924,                0.73022,                0.49712,                 0.7958,                0.60924,                0.72016,                0.38992,                 1.1805,                 2.0874,                 1.2901,                 1.2087,              0.0010892,              0.0010892,              0.0010892
                     25,                 0.9354,                 1.4791,                 1.1382,                 1.0782,                0.75221,                0.59375,                 0.6398,                0.46377,                0.75221,                0.59375,                0.64554,                0.33492,                 1.1645,                 2.4757,                 1.4874,                  1.246,              0.0010496,              0.0010496,              0.0010496
                     26,                0.97407,                 1.5745,                 1.0546,                 1.1341,                0.73738,                 0.7022,                0.69898,                0.50096,                0.70455,                0.67095,                0.67658,                0.38854,                 1.1028,                 3.0218,                 1.2991,                 1.2152,                0.00101,                0.00101,                0.00101
                     27,                 1.0135,                 1.5601,                 1.2103,                 1.1315,                0.63963,                 0.5625,                0.62569,                0.42219,                 0.6705,                0.59375,                0.62487,                0.35732,                 1.2585,                  2.932,                 1.5003,                 1.3321,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0234,                 1.6313,                 1.1456,                 1.1805,                0.88586,                0.59375,                 0.6985,                0.44158,                0.83923,                 0.5625,                0.67063,                0.37047,                 1.2081,                 2.6835,                 1.3794,                 1.3083,              0.0009308,              0.0009308,              0.0009308
                     29,                0.89093,                 1.3599,                 1.0808,                 1.0957,                 0.9353,                  0.625,                0.73123,                0.48858,                0.88696,                0.59375,                0.68871,                 0.3921,                 1.3395,                 2.7371,                 1.2846,                 1.3449,              0.0008912,              0.0008912,              0.0008912
                     30,                0.97144,                 1.4456,                 1.0253,                 1.1021,                0.89483,                 0.6875,                0.76431,                0.54309,                0.89483,                 0.6875,                0.75314,                0.41891,                 1.3274,                  3.177,                 1.1516,                 1.2738,              0.0008516,              0.0008516,              0.0008516
                     31,                0.88333,                 1.3642,                0.95902,                 1.0581,                 0.8382,                0.71875,                 0.7692,                0.53357,                0.80176,                 0.6875,                0.71723,                0.37206,                 1.2904,                  3.273,                 1.0364,                 1.2687,               0.000812,               0.000812,               0.000812
                     32,                0.84209,                 1.3236,                0.95334,                 1.0498,                0.84545,                0.71875,                0.71136,                0.50704,                0.80823,                 0.6875,                0.67629,                0.38055,                 1.2175,                 2.5478,                 1.1154,                 1.3035,              0.0007724,              0.0007724,              0.0007724
                     33,                0.89524,                 1.3074,                 1.0183,                 1.0841,                0.76176,                 0.6875,                0.69029,                 0.4794,                0.76176,                 0.6875,                 0.6678,                0.34256,                 1.3313,                 2.5168,                 1.3164,                 1.3938,              0.0007328,              0.0007328,              0.0007328
                     34,                0.83889,                 1.2579,                0.95193,                 1.0613,                0.82244,                  0.625,                0.67705,                0.51528,                0.82244,                  0.625,                0.65386,                0.38183,                 1.1516,                 2.2839,                 1.2138,                 1.2498,              0.0006932,              0.0006932,              0.0006932
                     35,                0.94245,                 1.2563,                0.92564,                 1.0708,                0.80823,                 0.6875,                0.70492,                0.52083,                0.90879,                0.62281,                0.66824,                0.43135,                 1.1909,                 2.4274,                 1.2392,                 1.2133,              0.0006536,              0.0006536,              0.0006536
                     36,                0.88875,                 1.1728,                0.95301,                 1.0847,                0.91532,                 0.6875,                0.72432,                0.54558,                0.87298,                0.65625,                0.70711,                0.42423,                 1.1253,                 2.7426,                 1.1731,                 1.1556,               0.000614,               0.000614,               0.000614
                     37,                0.83327,                 1.0431,                0.86954,                 1.0613,                0.88152,                0.71875,                0.75399,                0.56852,                0.88152,                0.71875,                0.74255,                0.43317,                 1.1609,                 2.6781,                 1.0413,                 1.1529,              0.0005744,              0.0005744,              0.0005744
                     38,                0.82619,                 1.0852,                0.91224,                 1.0466,                0.87715,                 0.6875,                0.73083,                0.53378,                0.87715,                 0.6875,                0.72273,                0.40885,                 1.1945,                 2.5099,                  1.033,                 1.2556,              0.0005348,              0.0005348,              0.0005348
                     39,                0.92022,                 1.1805,                 1.0976,                 1.1252,                0.77933,                0.71875,                0.71439,                0.52251,                0.78393,                0.71875,                0.68963,                0.38452,                 1.2779,                 2.6367,                 1.1537,                 1.3453,              0.0004952,              0.0004952,              0.0004952
                     40,                0.87037,                 1.3373,                0.90056,                 1.1013,                0.78342,                0.67846,                0.71557,                 0.5531,                0.78342,                0.67846,                0.69711,                 0.4174,                 1.2145,                 2.4653,                  1.112,                 1.3045,              0.0004556,              0.0004556,              0.0004556
                     41,                0.73898,                 1.1669,                0.83417,                0.99254,                 0.8022,                0.71875,                 0.7355,                0.55739,                0.76677,                 0.6875,                0.71404,                0.41043,                 1.1471,                 2.4904,                 1.0238,                 1.2314,               0.000416,               0.000416,               0.000416
                     42,                0.65789,                 1.0567,                0.77751,                 0.9546,                0.82684,                0.74621,                0.73649,                0.56414,                0.79244,                0.71593,                  0.722,                0.40604,                 1.1604,                 2.3322,                0.97483,                 1.2678,              0.0003764,              0.0003764,              0.0003764
                     43,                0.69318,                0.90424,                0.83284,                0.96496,                0.81422,                0.68487,                  0.733,                 0.5508,                0.81422,                0.68487,                  0.733,                0.41058,                 1.1145,                 2.1436,                 0.9498,                 1.2744,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.6616,                 1.0079,                0.77132,                0.98083,                0.83321,                0.62447,                 0.7193,                0.52381,                0.83321,                0.62447,                 0.7193,                0.39956,                 1.1715,                 2.1886,                 1.0539,                 1.3329,              0.0002972,              0.0002972,              0.0002972
                     45,                  0.648,                  1.008,                0.71345,                0.95594,                0.82564,                0.59199,                0.70312,                0.52894,                0.82564,                0.59199,                0.70014,                0.39619,                 1.2129,                 2.3291,                  1.134,                 1.3707,              0.0002576,              0.0002576,              0.0002576
                     46,                0.63932,                 1.0107,                0.73872,                 0.9347,                0.68643,                0.71875,                0.70565,                0.53556,                0.68643,                0.71875,                0.69524,                 0.3959,                  1.148,                 2.3808,                 1.0689,                 1.3211,               0.000218,               0.000218,               0.000218
                     47,                0.64495,                0.90688,                0.71573,                0.94951,                0.78558,                 0.6875,                0.71682,                0.53925,                0.78558,                 0.6875,                0.70825,                0.40828,                 1.1123,                 2.5224,                0.96521,                 1.2865,              0.0001784,              0.0001784,              0.0001784
                     48,                0.60658,                0.87717,                0.69103,                0.91098,                0.80658,                 0.6875,                0.72143,                0.56298,                0.80658,                 0.6875,                 0.7134,                0.43025,                 1.1083,                 2.5219,                0.93716,                 1.2614,              0.0001388,              0.0001388,              0.0001388
                     49,                0.60714,                0.86718,                0.66936,                0.91721,                0.79345,                 0.6875,                0.70616,                0.54343,                0.79345,                 0.6875,                0.69777,                0.41125,                 1.1088,                 2.4603,                0.96904,                 1.2474,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.59932,                0.82471,                0.67529,                0.91332,                0.83883,                0.65076,                0.70384,                0.54285,                0.83883,                0.65076,                0.69224,                0.40515,                 1.1078,                 2.3911,                0.96829,                 1.2455,               5.96e-05,               5.96e-05,               5.96e-05
