                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.479,                 1.7786,                 1.9728,                0.61156,                0.36842,                0.44454,                0.20975,                 2.1573,                  2.113,                 3.2963,               0.067466,             0.00066396,             0.00066396
                      2,                  1.544,                 2.3784,                 2.0257,                 0.6271,                0.31579,                0.36968,                0.18544,                 2.8301,                 2.9862,                 3.6506,               0.034799,              0.0013305,              0.0013305
                      3,                 1.3352,                   2.23,                 1.7929,                      1,                0.16266,                0.36205,                0.19643,                 2.0838,                 2.5103,                 3.1715,               0.002132,              0.0019965,              0.0019965
                      4,                 1.3975,                 2.3023,                 1.8431,                 0.3725,                0.26316,                0.29218,                0.17253,                 2.3459,                 2.4087,                 3.1201,              0.0019983,              0.0019983,              0.0019983
                      5,                 1.3749,                 2.1464,                 1.7377,                0.54583,                0.31579,                0.44019,                0.19565,                 2.2517,                 2.2702,                 3.0792,              0.0019969,              0.0019969,              0.0019969
                      6,                 1.3381,                 2.2079,                 1.8057,                0.79472,                0.21053,                0.31289,                0.15556,                 2.1829,                 2.4158,                 3.2907,              0.0019952,              0.0019952,              0.0019952
                      7,                  1.304,                 2.0348,                 1.7459,                  0.747,                0.31136,                0.34061,                0.16039,                 2.5622,                  2.382,                 3.1113,              0.0019931,              0.0019931,              0.0019931
                      8,                 1.3418,                  2.015,                 1.7033,                0.63791,                0.36842,                0.46435,                0.24239,                 2.0418,                 2.2018,                 2.9089,              0.0019907,              0.0019907,              0.0019907
                      9,                 1.3047,                 1.9657,                 1.6921,                0.48555,                0.47368,                0.43378,                0.23199,                 1.9967,                 2.4783,                 3.0197,              0.0019878,              0.0019878,              0.0019878
                     10,                 1.3206,                 1.9947,                 1.6749,                0.69677,                0.36842,                0.49147,                0.27576,                 2.3113,                 2.1395,                 3.5007,              0.0019846,              0.0019846,              0.0019846
                     11,                 1.2245,                 1.8507,                  1.654,                0.55605,                0.47368,                0.46866,                 0.2486,                 2.0261,                 2.2803,                 2.9186,               0.001981,               0.001981,               0.001981
                     12,                  1.254,                 1.8084,                 1.5851,                0.58727,                0.47368,                0.53875,                0.26397,                 1.9594,                 2.0388,                 2.8937,               0.001977,               0.001977,               0.001977
                     13,                 1.2732,                 1.6932,                 1.6116,                0.63459,                0.63158,                0.64004,                0.32092,                 2.3132,                 1.9067,                 3.2804,              0.0019726,              0.0019726,              0.0019726
                     14,                 1.2366,                 1.6085,                 1.5523,                0.76667,                0.47368,                0.57956,                 0.3147,                 2.1288,                 2.2645,                 3.0145,              0.0019679,              0.0019679,              0.0019679
