                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3368,                 1.7666,                 1.7425,                0.46378,                0.42105,                0.42302,                0.18644,                 2.3041,                 2.0603,                 2.9668,              0.0017875,              0.0017875,              0.0017875
                     36,                  1.311,                 1.5934,                 1.6946,                0.44678,                0.47368,                0.37964,                0.19523,                  2.242,                  2.044,                 2.9811,              0.0017753,              0.0017753,              0.0017753
                     37,                 1.2753,                 1.4939,                 1.7466,                 0.4665,                0.52632,                0.42415,                0.19092,                  2.117,                 2.0283,                 3.0118,              0.0017628,              0.0017628,              0.0017628
                     38,                 1.2987,                 1.6046,                 1.7334,                0.56065,                0.47368,                0.44126,                0.21587,                 2.0948,                 1.9601,                 3.0092,                0.00175,                0.00175,                0.00175
                     39,                 1.2703,                 1.6246,                  1.779,                0.75915,                0.36842,                0.47881,                0.21336,                 2.0865,                 1.8679,                 3.1633,               0.001737,               0.001737,               0.001737
                     40,                 1.2899,                 1.5685,                 1.6904,                0.67513,                0.47368,                0.51046,                 0.2691,                  1.864,                 1.7146,                 2.9643,              0.0017236,              0.0017236,              0.0017236
                     41,                 1.2883,                 1.5206,                 1.7745,                0.56854,                0.47368,                0.48553,                0.25519,                  1.971,                 1.9036,                 2.9312,                0.00171,                0.00171,                0.00171
                     42,                 1.2703,                 1.5276,                  1.728,                0.67303,                0.47368,                0.46472,                0.20927,                 2.1142,                 1.7871,                  3.196,              0.0016962,              0.0016962,              0.0016962
                     43,                 1.2684,                 1.5578,                 1.6777,                0.46025,                0.47368,                0.49068,                0.25381,                  2.134,                  1.958,                 2.9675,               0.001682,               0.001682,               0.001682
                     44,                 1.2559,                 1.6957,                 1.7092,                0.64698,                0.42105,                0.50336,                 0.2686,                  2.081,                 1.8842,                 2.9024,              0.0016676,              0.0016676,              0.0016676
                     45,                 1.2468,                 1.4224,                 1.6843,                0.58741,                0.42105,                0.48076,                 0.2349,                 2.1993,                 1.9649,                 3.1757,               0.001653,               0.001653,               0.001653
                     46,                 1.2283,                 1.5447,                 1.6957,                0.82438,                0.49522,                0.55019,                 0.2514,                 2.0917,                 1.9181,                 3.1985,               0.001638,               0.001638,               0.001638
                     47,                 1.2406,                 1.3786,                 1.6928,                0.81351,                0.52632,                0.57998,                 0.2779,                 2.1133,                 1.8122,                 3.1097,              0.0016229,              0.0016229,              0.0016229
                     48,                 1.2133,                 1.3353,                 1.6601,                 0.5674,                0.52632,                0.47415,                0.21197,                 2.0876,                 1.8951,                 3.0343,              0.0016075,              0.0016075,              0.0016075
                     49,                 1.2363,                 1.3968,                 1.6325,                0.75669,                  0.492,                0.56972,                0.27094,                 2.1161,                 1.7205,                 3.2741,              0.0015919,              0.0015919,              0.0015919
                     50,                  1.168,                   1.26,                 1.6505,                0.61337,                0.52632,                0.51134,                0.24984,                 2.0952,                 1.8658,                 3.2006,              0.0015761,              0.0015761,              0.0015761
                     51,                 1.1891,                 1.3537,                 1.6961,                0.54522,                0.52632,                0.49988,                0.24774,                 2.1691,                 1.7788,                  3.139,                0.00156,                0.00156,                0.00156
                     52,                 1.1817,                 1.3929,                 1.6275,                0.73364,                0.52632,                0.56962,                0.29165,                 2.0828,                 1.5756,                  3.181,              0.0015437,              0.0015437,              0.0015437
                     53,                 1.2041,                 1.1805,                 1.6265,                0.74943,                0.47368,                0.56684,                0.28324,                 2.0247,                 1.7771,                 3.0766,              0.0015273,              0.0015273,              0.0015273
                     54,                 1.1519,                  1.275,                 1.6479,                0.64407,                0.47368,                0.50831,                0.25007,                 2.1523,                 1.7012,                 3.1155,              0.0015106,              0.0015106,              0.0015106
                     55,                 1.1751,                 1.1554,                 1.5975,                0.73096,                0.52632,                 0.5272,                0.28314,                  2.042,                  1.774,                 3.0712,              0.0014937,              0.0014937,              0.0014937
                     56,                 1.2259,                 1.1775,                 1.6231,                0.65663,                0.52632,                0.55457,                0.24961,                 2.1992,                 1.8047,                  3.275,              0.0014767,              0.0014767,              0.0014767
                     57,                 1.1752,                 1.2178,                 1.6294,                0.89624,                0.47368,                0.58402,                0.28451,                 2.0939,                 1.6936,                  3.117,              0.0014595,              0.0014595,              0.0014595
                     58,                 1.1762,                 1.1259,                 1.5854,                0.71047,                0.51718,                0.51691,                0.26143,                 2.0268,                 1.8179,                 3.0682,               0.001442,               0.001442,               0.001442
                     59,                  1.177,                 1.1109,                 1.5538,                0.64728,                0.42105,                0.52007,                0.25764,                 2.1302,                 1.6842,                 3.1227,              0.0014245,              0.0014245,              0.0014245
                     60,                 1.1134,                 1.0792,                 1.5928,                0.49015,                0.57895,                0.53067,                0.26597,                 2.1065,                 2.0229,                  3.172,              0.0014067,              0.0014067,              0.0014067
                     61,                 1.1492,                 1.1135,                 1.6257,                0.60195,                0.47368,                0.55509,                0.29163,                 2.0889,                 1.5257,                 3.2521,              0.0013889,              0.0013889,              0.0013889
                     62,                 1.1453,                 1.0678,                  1.577,                0.64693,                0.47368,                 0.5102,                 0.2594,                 2.2096,                 1.8812,                 3.3142,              0.0013708,              0.0013708,              0.0013708
                     63,                 1.1155,                 1.0163,                 1.5596,                0.49171,                0.57895,                0.49148,                0.26853,                 2.1484,                  1.716,                 3.3695,              0.0013527,              0.0013527,              0.0013527
                     64,                 1.1499,                0.99505,                  1.541,                0.56615,                0.57895,                0.55112,                0.28873,                 2.0888,                 1.4264,                 3.2761,              0.0013344,              0.0013344,              0.0013344
                     65,                 1.1013,                0.97106,                 1.5526,                 0.6652,                0.47368,                0.53963,                0.28964,                  2.142,                 1.6095,                 3.3117,              0.0013159,              0.0013159,              0.0013159
                     66,                 1.0843,                0.91227,                 1.5561,                0.75718,                0.52632,                0.58397,                0.33515,                 2.1005,                 1.6112,                 3.0942,              0.0012974,              0.0012974,              0.0012974
                     67,                 1.0938,                0.98562,                 1.5841,                0.72954,                0.52632,                0.58851,                0.33487,                 2.1871,                 1.5656,                 3.1093,              0.0012787,              0.0012787,              0.0012787
                     68,                 1.1252,                 1.0125,                 1.5404,                0.70933,                0.57895,                0.61235,                0.32968,                 2.1591,                 1.4874,                 3.0498,                0.00126,                0.00126,                0.00126
                     69,                 1.0706,                0.95593,                 1.5109,                0.76515,                0.51515,                 0.5851,                0.31905,                 2.1166,                 1.6179,                 3.1143,              0.0012411,              0.0012411,              0.0012411
                     70,                 1.1009,                0.95567,                 1.5192,                0.65397,                0.52632,                0.52774,                 0.2829,                 2.1223,                 1.6413,                 3.1549,              0.0012222,              0.0012222,              0.0012222
                     71,                 1.0807,                 1.0107,                 1.5201,                 0.6649,                0.52632,                0.56658,                0.29422,                 2.1607,                 1.4834,                 3.0659,              0.0012031,              0.0012031,              0.0012031
                     72,                  1.038,                0.92634,                 1.5067,                0.70381,                0.47368,                0.53643,                0.29881,                 1.8643,                 1.6103,                 2.8866,               0.001184,               0.001184,               0.001184
                     73,                 1.0903,                0.91521,                 1.5201,                0.76096,                0.50368,                0.61341,                0.35197,                 1.9262,                 1.4809,                 2.9676,              0.0011649,              0.0011649,              0.0011649
                     74,                 1.0512,                0.85517,                 1.5056,                0.57848,                0.52632,                0.57502,                0.33953,                 2.1314,                  1.471,                 3.1108,              0.0011456,              0.0011456,              0.0011456
                     75,                 1.0102,                0.86882,                 1.4999,                0.72904,                0.52632,                0.60692,                0.32692,                 2.2024,                 1.4522,                 3.0865,              0.0011264,              0.0011264,              0.0011264
                     76,                 1.0169,                0.81676,                 1.5232,                0.78533,                0.57773,                0.60459,                0.34493,                 1.9823,                 1.4432,                 3.1274,               0.001107,               0.001107,               0.001107
                     77,                 1.0298,                0.85731,                  1.487,                0.61812,                0.57895,                0.57869,                0.34286,                 2.1133,                 1.4144,                 3.2118,              0.0010877,              0.0010877,              0.0010877
                     78,                0.96589,                0.85283,                 1.4553,                0.46372,                0.57895,                0.48332,                0.29793,                 2.0739,                 1.6157,                 3.0562,              0.0010683,              0.0010683,              0.0010683
                     79,                0.99365,                0.81325,                 1.4427,                0.65794,                0.63158,                0.63432,                0.38472,                 1.9904,                 1.3925,                 3.0481,              0.0010489,              0.0010489,              0.0010489
                     80,                  1.014,                0.80859,                 1.4358,                0.60077,                0.63158,                0.64254,                0.38244,                 2.0769,                 1.2348,                 3.1513,              0.0010294,              0.0010294,              0.0010294
                     81,                 1.0167,                0.77923,                 1.4739,                0.65826,                0.68421,                0.66741,                0.40208,                 1.9754,                  1.189,                 3.1143,                0.00101,                0.00101,                0.00101
                     82,                 1.0215,                 0.8127,                 1.4462,                0.61581,                0.63158,                0.62248,                0.35343,                 1.9747,                 1.4972,                   3.05,             0.00099056,             0.00099056,             0.00099056
                     83,                 0.9952,                 0.8056,                 1.4603,                0.59389,                0.63158,                0.61774,                0.37157,                 2.0728,                 1.4317,                 3.0808,             0.00097113,             0.00097113,             0.00097113
                     84,                0.93503,                0.77653,                   1.44,                0.71051,                0.57895,                0.64675,                0.36566,                 1.8054,                 1.4359,                 2.8834,             0.00095172,             0.00095172,             0.00095172
                     85,                0.94339,                 0.7696,                 1.4465,                0.83025,                0.52632,                0.67509,                0.37775,                 1.8001,                 1.4587,                 2.9945,             0.00093233,             0.00093233,             0.00093233
                     86,                0.99106,                0.73861,                 1.3739,                0.58069,                0.68421,                0.65068,                0.39072,                 1.8112,                 1.4173,                 2.9055,             0.00091296,             0.00091296,             0.00091296
                     87,                0.97111,                0.73287,                 1.3716,                0.69899,                0.73347,                0.68235,                0.40696,                 1.9763,                 1.3438,                 3.0387,             0.00089364,             0.00089364,             0.00089364
                     88,                0.93361,                0.72097,                 1.3531,                0.60106,                0.68421,                 0.6782,                0.42924,                  1.795,                 1.3134,                  2.834,             0.00087436,             0.00087436,             0.00087436
                     89,                0.95328,                0.72874,                 1.3656,                0.63892,                0.65256,                0.65768,                0.41779,                  1.788,                 1.4273,                  2.881,             0.00085513,             0.00085513,             0.00085513
                     90,                0.93304,                0.69562,                 1.3409,                0.69218,                0.63158,                0.65227,                0.37478,                 1.9363,                 1.3374,                 3.0629,             0.00083596,             0.00083596,             0.00083596
                     91,                0.91792,                0.68458,                 1.3889,                0.50973,                0.73684,                0.60259,                0.36407,                 1.7878,                 1.3261,                 2.9556,             0.00081686,             0.00081686,             0.00081686
                     92,                 0.9354,                0.67789,                 1.3897,                0.68679,                0.57895,                0.65915,                 0.4098,                 1.7993,                 1.3812,                 2.8941,             0.00079783,             0.00079783,             0.00079783
                     93,                0.93103,                0.71368,                 1.3524,                0.73576,                0.73295,                 0.6981,                0.40698,                 1.8099,                 1.2335,                 2.9348,             0.00077889,             0.00077889,             0.00077889
                     94,                0.91688,                0.66646,                 1.3644,                0.88109,                0.63158,                0.70435,                0.38373,                 1.7967,                 1.3819,                 2.9626,             0.00076003,             0.00076003,             0.00076003
                     95,                0.93853,                0.66192,                 1.3782,                0.92225,                0.62482,                 0.7034,                0.44897,                 1.6854,                 1.2844,                 2.8732,             0.00074127,             0.00074127,             0.00074127
                     96,                0.90687,                0.68265,                 1.3655,                0.86711,                0.57895,                0.70746,                0.43128,                 1.7741,                 1.1766,                 2.9509,             0.00072262,             0.00072262,             0.00072262
                     97,                0.87383,                0.65705,                 1.3636,                0.61372,                0.73684,                0.69285,                0.40503,                 1.8316,                 1.1472,                  2.959,             0.00070407,             0.00070407,             0.00070407
                     98,                0.90145,                0.63207,                 1.3348,                0.66517,                0.73684,                0.71094,                0.44577,                 1.6776,                 1.1811,                 2.8251,             0.00068565,             0.00068565,             0.00068565
                     99,                0.92764,                0.64546,                 1.3832,                0.62705,                0.73684,                0.68194,                0.40071,                 1.8007,                 1.3732,                 2.9531,             0.00066734,             0.00066734,             0.00066734
                    100,                0.88283,                0.60547,                 1.3209,                0.79533,                0.63158,                0.68574,                 0.4293,                  1.747,                 1.2511,                 2.9739,             0.00064917,             0.00064917,             0.00064917
