                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9161,                 2.5159,                 2.5064,                 0.0972,                  0.375,                0.15685,                0.07276,                   1.77,                 5.5801,                 2.6933,              0.0018621,              0.0018621,              0.0018621
                     36,                 1.9363,                 2.4491,                 2.6329,                0.41386,                   0.25,                0.22446,                0.11913,                 1.8272,                 3.4369,                 2.6229,              0.0018541,              0.0018541,              0.0018541
                     37,                 1.9752,                 2.5607,                  2.614,                0.35171,                   0.25,                0.28325,                0.14018,                 1.8972,                 2.8043,                 2.6858,              0.0018459,              0.0018459,              0.0018459
                     38,                 1.8927,                 2.4281,                 2.4878,                0.29546,                   0.25,                0.29102,                0.15591,                 1.9484,                 2.8891,                 2.7369,              0.0018374,              0.0018374,              0.0018374
                     39,                 1.9317,                 2.4131,                 2.5475,                 0.0786,                  0.625,                0.07775,                0.03193,                  1.819,                 4.0571,                 2.5955,              0.0018288,              0.0018288,              0.0018288
                     40,                 1.9958,                 2.4428,                 2.6218,                0.09252,                 0.4375,                0.11509,                0.05421,                  1.836,                 3.6648,                 2.6463,                0.00182,                0.00182,                0.00182
                     41,                 1.8934,                 2.2982,                 2.4613,                 0.2198,                 0.4375,                0.23577,                0.10659,                 1.8611,                 2.4796,                 2.5739,              0.0018109,              0.0018109,              0.0018109
                     42,                 1.8787,                 2.3432,                 2.5431,                0.30736,                  0.375,                0.19625,                0.08253,                 1.8239,                 3.3886,                 2.5857,              0.0018017,              0.0018017,              0.0018017
                     43,                 1.7631,                 2.3121,                 2.4393,                0.26924,                 0.3125,                0.23763,                0.13831,                 1.8551,                 3.2202,                 2.5487,              0.0017923,              0.0017923,              0.0017923
                     44,                 1.9013,                 2.2571,                  2.491,                0.36285,                 0.3125,                0.26682,                0.15551,                   1.75,                 2.8618,                 2.4736,              0.0017826,              0.0017826,              0.0017826
                     45,                 1.8841,                 2.3223,                  2.431,                0.36423,                   0.25,                0.24541,                  0.146,                 2.0595,                 2.9737,                 2.7792,              0.0017728,              0.0017728,              0.0017728
                     46,                 1.8664,                 2.2179,                 2.5282,                0.26146,                  0.375,                0.29454,                0.17533,                 1.9271,                 2.3514,                 2.6655,              0.0017628,              0.0017628,              0.0017628
                     47,                 1.8273,                 2.2333,                 2.4616,                0.27847,                  0.375,                0.34005,                0.17746,                 1.8885,                 2.3416,                 2.5213,              0.0017526,              0.0017526,              0.0017526
                     48,                 1.8148,                 2.1461,                 2.4228,                0.34244,                 0.4237,                0.35268,                0.17878,                 1.8053,                 2.4532,                 2.4748,              0.0017422,              0.0017422,              0.0017422
                     49,                 1.8136,                 2.1123,                 2.4221,                0.23807,                    0.5,                0.30967,                0.16435,                 1.8312,                 2.4144,                 2.4174,              0.0017317,              0.0017317,              0.0017317
                     50,                 1.7924,                 2.1949,                 2.4309,                0.37601,                 0.3125,                0.33405,                0.17897,                 1.7406,                  2.449,                 2.3913,              0.0017209,              0.0017209,              0.0017209
                     51,                 1.8724,                 2.1603,                 2.4247,                0.35293,                    0.5,                0.33284,                0.17788,                 1.7814,                 2.7135,                 2.4655,                0.00171,                0.00171,                0.00171
                     52,                 1.8532,                  2.153,                 2.4758,                0.21201,                0.52164,                 0.2832,                0.14412,                 1.8292,                 3.0028,                 2.4795,               0.001699,               0.001699,               0.001699
