                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6672,                 2.1077,                 2.1476,                 0.3575,                 0.4375,                0.36116,                0.20948,                 1.6493,                 2.7344,                 2.1776,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.6241,                  1.984,                 2.1268,                0.35941,                  0.625,                0.37793,                0.20073,                 1.6318,                 2.5381,                 2.2516,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.6067,                 1.9075,                  2.077,                0.42361,                 0.4375,                0.42051,                0.25937,                 1.6384,                 2.2819,                 2.2738,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.5684,                 1.8005,                 2.0355,                0.43001,                0.56597,                0.47001,                0.24209,                 1.6097,                  2.277,                  2.218,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.5794,                 1.8529,                 2.0709,                 0.8088,                  0.375,                0.44789,                0.29615,                  1.732,                 2.5575,                 2.2333,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.5227,                 1.7976,                 2.0176,                0.38277,                 0.4375,                0.37075,                0.19954,                 1.6931,                  2.618,                 2.2355,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.6053,                 1.8495,                 2.1101,                0.66418,                0.61848,                0.55056,                0.28902,                 1.6107,                 2.1358,                 2.1671,               0.001604,               0.001604,               0.001604
                     42,                 1.4529,                 1.6942,                 1.9835,                0.67161,                 0.3125,                0.29665,                0.14317,                 1.9033,                  2.922,                 2.3899,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.5994,                 1.7715,                 2.0636,                0.59457,                  0.375,                0.45454,                0.21895,                 1.8413,                 2.3054,                 2.4426,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.5658,                 1.7169,                 2.0278,                0.61643,                 0.6875,                0.62345,                0.31483,                 1.6146,                 2.3218,                 2.2033,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.4771,                 1.5435,                 1.9838,                0.51916,                  0.625,                 0.5539,                0.31412,                 1.5138,                 2.6214,                 2.1327,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.5405,                 1.5766,                 1.9929,                0.44028,                    0.5,                0.41466,                0.25403,                  1.603,                 2.4249,                  2.152,              0.0015545,              0.0015545,              0.0015545
                     47,                  1.506,                 1.7328,                 1.9965,                0.55795,                    0.5,                0.52362,                0.32999,                 1.4207,                 2.1652,                 2.0651,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.3988,                 1.5957,                 1.8834,                      1,                0.53966,                0.68685,                0.41276,                 1.4428,                 2.0754,                 2.0316,              0.0015347,              0.0015347,              0.0015347
                     49,                  1.407,                 1.4265,                 1.8652,                0.86438,                    0.5,                0.58418,                0.30972,                 1.6493,                  2.125,                 2.2283,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.3414,                 1.4672,                 1.8398,                0.79962,                  0.625,                0.72592,                0.41616,                 1.5528,                  2.102,                 2.1319,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.4511,                 1.5524,                 1.9484,                0.66194,                  0.625,                0.64496,                0.32884,                 1.6297,                 1.9339,                 2.1836,               0.001505,               0.001505,               0.001505
                     52,                  1.411,                 1.5639,                 1.9448,                0.50793,                  0.625,                0.43438,                0.25499,                 1.7069,                 2.4057,                 2.2789,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.2982,                 1.3863,                 1.8061,                0.50977,                  0.625,                0.53221,                0.30686,                 1.6688,                 2.3695,                 2.2677,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.3809,                 1.5371,                 1.9118,                0.80797,                 0.4375,                0.62357,                0.35101,                 1.4934,                 2.0008,                   2.05,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.2723,                 1.3284,                 1.7752,                0.62574,                 0.5625,                0.57648,                0.33705,                 1.6101,                 1.9459,                 2.1994,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.3351,                 1.4902,                 1.8273,                 0.7747,                 0.5625,                0.55817,                0.36911,                 1.5471,                 2.4502,                 2.1377,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.3422,                 1.4374,                 1.8684,                0.86455,                 0.5625,                0.61055,                0.39815,                 1.4362,                 2.3193,                 2.0384,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.3323,                 1.3739,                 1.8015,                0.36671,                0.61556,                0.45194,                0.26651,                 1.6495,                 2.8459,                 2.3618,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.3022,                 1.3891,                 1.7853,                0.67496,                 0.6875,                0.61606,                0.40116,                 1.5366,                 2.1174,                  2.205,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.2894,                 1.3063,                 1.7966,                0.69715,                    0.5,                0.62316,                0.39553,                 1.5427,                 2.2811,                 2.1562,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2597,                 1.1746,                  1.737,                0.96532,                 0.4375,                0.56174,                 0.3692,                 1.4851,                 2.2267,                 2.0203,               0.001406,               0.001406,               0.001406
                     62,                  1.229,                  1.256,                 1.7115,                0.62454,                 0.5625,                0.54694,                0.32881,                 1.6676,                 2.2039,                 2.2071,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2469,                 1.2363,                 1.7296,                0.66161,                 0.5625,                0.54838,                0.33322,                 1.6457,                  2.442,                 2.1566,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3226,                 1.3068,                  1.766,                0.83466,                    0.5,                0.60859,                0.40278,                 1.5315,                 2.1459,                 2.0255,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.2752,                 1.3498,                 1.7799,                0.70548,                  0.625,                0.62472,                0.39859,                 1.5393,                 1.9333,                 2.1543,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.2501,                 1.2937,                 1.7871,                0.80749,                    0.5,                0.58846,                0.39657,                 1.6195,                 2.2172,                 2.2073,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2074,                 1.2719,                 1.7271,                0.68783,                 0.6875,                0.66828,                  0.412,                 1.5128,                  1.945,                 2.1583,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.2988,                 1.2629,                 1.8881,                0.74516,                  0.625,                 0.6336,                0.37356,                 1.6291,                 1.9139,                 2.1487,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.276,                 1.2942,                 1.8011,                0.80132,                 0.6875,                0.73354,                0.44283,                  1.584,                 1.8078,                 2.1272,              0.0013268,              0.0013268,              0.0013268
